PRODUCT,YEAR_DATE,ARR
Daily Fitness,2019-12-01,2365702.68359607
Daily Fitness,2020-12-01,4861191.821348283
Daily Fitness,2021-12-01,7146991.944051876
Daily Fitness,2022-12-01,8250698.6599796545
Daily Fitness,2023-12-01,8532682.257477574
Daily Fitness,2024-12-01,8806571.805780526
Healthy Meals,2019-12-01,3231642.150374133
Healthy Meals,2020-12-01,6834152.498104865
Healthy Meals,2021-12-01,10249666.197303299
Healthy Meals,2022-12-01,11726065.35542459
Healthy Meals,2023-12-01,12036224.039847702
Healthy Meals,2024-12-01,11804305.922012448
Mindful Living,2019-12-01,0.0
Mindful Living,2020-12-01,5354509.822792823
Mindful Living,2021-12-01,12375107.540047938
Mindful Living,2022-12-01,15520848.066599198
Mindful Living,2023-12-01,15080313.369979339
Mindful Living,2024-12-01,13161666.800399903
Premium Health,2019-12-01,0.0
Premium Health,2020-12-01,0.0
Premium Health,2021-12-01,0.0
Premium Health,2022-12-01,8344057.767532776
Premium Health,2023-12-01,14368896.802648216
Premium Health,2024-12-01,18393652.89099285
Wellness Tracker,2019-12-01,0.0
Wellness Tracker,2020-12-01,2070465.0187094465
Wellness Tracker,2021-12-01,5334029.925237905
Wellness Tracker,2022-12-01,6510055.422430596
Wellness Tracker,2023-12-01,6408934.968528808
Wellness Tracker,2024-12-01,5948596.9871906685
